KEGG_id,color,width
C01566,#a8ddb5,W20
C06755,#a8ddb5,W20
C02248,#a8ddb5,W20
C06754,#a8ddb5,W20
C06614,#a8ddb5,W20
C06613,#a8ddb5,W20
C01659,#a8ddb5,W20
C01755,#a8ddb5,W20
C01769,#a8ddb5,W20
C06420,#a8ddb5,W20
C01861,#a8ddb5,W20
C02170,#a8ddb5,W20
C06112,#a8ddb5,W20
C02188,#a8ddb5,W20
C21215,#a8ddb5,W20
